Outlet,Date,Title,URL
University of Waterloo Systems Design Engineering,"November 19, 2018",Systems Design Ph.D. Student Wins Second Place Prize at International Student Engineering Competition in China,https://uwaterloo.ca/systems-design-engineering/news/systems-design-phd-student-wins-second-place-prize
Waterloo Artificial Intelligence Institute,"November 5, 2018",Systems Design Ph.D. Student Wins Second Place Prize at International Student Engineering Competition in China,https://uwaterloo.ca/artificial-intelligence-institute/news/systems-design-phd-student-wins-second-place-prize
China Development,"November 5, 2018",第一届水与环境安全未来工程师国际大学生竞赛决赛在天津滨海新区圆满落幕,http://www.chinadevelopment.com.cn/news/zj/2018/11/1387115.shtml
Water Institute,"September 25, 2018",Water Institute 2017-18 Annual Impact Report,https://uwaterloo.ca/water-institute/publications/annual-reports
The University Network,"July 26, 2018",How AI Could Protect Your Next Cup Of Water,https://www.tun.com/blog/how-ai-protect-water/
Water Canada,"July 20, 2018",AquaHacking Alums Publish Algae Identifying AI Research,https://www.watercanada.net/aquahacking-alums-publish-algae-identifying-ai-research/
Water World,"July 20, 2018","AI Technology Could Help Protect Water Supplies, Researchers Say",https://www.waterworld.com/articles/2018/07/ai-technology-could-help-protect-water-supplies-researchers-say.html
University of Waterloo,"July 18, 2018",AI technology could help protect water supplies,https://uwaterloo.ca/news/news/ai-technology-could-help-protect-water-supplies
Media Planet: Industry and Business,"June 22, 2018",AquaHacking: A Modern Approach to Solving Freshwater Challenges,http://www.industryandbusiness.ca/technology/aquahacking-a-modern-approach-to-solving-freshwater-challenges
Michigan Public Radio,"May 15, 2018",Could artificial intelligence help scientists fight toxic blooms in the Great Lakes?,http://michiganradio.org/post/could-artificial-intelligence-help-scientists-fight-toxic-blooms-great-lakes
Water Canada,"March 21, 2018",Lake Ontario Is the Focus of the Fourth AquaHacking Challenge,https://www.watercanada.net/lake-ontario-is-the-focus-of-the-fourth-aquahacking-challenge/
Sunfish Lake,"January 18, 2018",Sunfish Water Testing and Research,http://sunfishlake.ca/2018/01/18/sunfish-water-testing-and-research/
AquaHacking,"December 15, 2017","Discover SIM Labs, 1st place winners of the 2017 Challenge",https://aquahacking.com/en/press-room/discover-sim-labs-1st-place-winners-of-the-2017-challenge/
WaterTAP,"December 1, 2017",WaterTAP Corporate Brief,http://watertapontario.com/wp-content/uploads/2017/12/WaterTAP-CorporateBrief-Dec2017-Web.pdf
Corporate Knights,"October 6, 2017",Hacking the watershed,http://www.corporateknights.com/channels/water/hacking-the-watershed-15072660/
Water Canada,"September 14, 2017",AquaHacking Offers Five Innovative Solutions for Lake Erie,https://www.watercanada.net/aquahacking-offers-five-innovative-solutions-for-lake-erie/
News Wire,"September 13, 2017",Aquahacking Summit Promotes New Solutions for Threats to Great Lakes,https://www.newswire.ca/news-releases/aquahacking-summit-promotes-new-solutions-for-threats-to-great-lakes-644304603.html
The Water Institute,"June 30, 2017",University of Waterloo students make a big splash in the 2017 AquaHacking semi-finals,https://uwaterloo.ca/water-institute/news/university-waterloo-students-make-big-splash-2017
The Water Institute,"June 6, 2017",Taking on Lake Erie’s Algae Monster: A look inside AquaHacking 2017,https://uwaterloo.ca/water-institute/news/taking-lake-eries-algae-monster-look-inside-aquahacking-2017
University of Waterloo,"July 6, 2016",Spectrum 28 Student Venture Program Highlights,https://www.youtube.com/watch?v=xStybt81O4Q
CBC News,"July 5, 2016",36 entrepreneurs start their own business with Summer Company funds,http://www.cbc.ca/news/canada/kitchener-waterloo/summer-company-businesses-waterlo-region-2016-1.3665620
University of Waterloo,"June 8, 2015",Industry partnership leads to Distinguished Paper Award,https://uwaterloo.ca/engineering/news/industry-partnership-leads-distinguished-paper-award
University of Victoria,"April 12, 2013",Co-op students of the year 2012 (article),https://www.uvic.ca/news/topics/2013+co-op-students-of-the-year-2012+ring
University of Victoria,"January 24, 2013",2012 Co-op Students of the Year (video),https://www.youtube.com/watch?v=x8BrgxmkQ3g&feature=em-subs_digest