Date,Role,Title,Host,Location
"June 11, 2020",Panelist,Post COVID-19 Reboot Speaker Series -- Rebooting with Research: Tackling Real-World Problems,University of Waterloo,"online"
"May 5, 2020",Interviewee,Bad Blooms: The Dark Side of Algae,AquaHacking Podcast,"online"
"May 1, 2020",Webinar,Ask Me Anything (AMA): Algae Bloom and Eutrophication,AquaHacking,"online"
"February 13, 2020",Speaker,Ideation Workshop,Enactus,"Waterloo, ON, Canada"
"November 18, 2019",Oral Presentation,PhD Defense Examination,University of Waterloo,"Waterloo, ON, Canada"
"November 5, 2019",Oral Presentation,Taste & Odor Algae Identification and Monitoring,American Water Works Association (AWWA) Water Quality Technology Conference (WQTC),"Dallas, TX, USA"
"October 29, 2019",Speaker,Presidentâ€™s Reception,University of Waterloo,"Waterloo, ON, Canada"
"October 22, 2019",Panelist,Turning Your Research Into a Startup,Concept,"Waterloo, ON, Canada"
"July 10, 2019",Panelist,Working in the AI Industry,Vector Institute for Artificial Intelligence,"Kitchener, ON, Canada"
"June 20, 2019",Pitch,Erie Hack Finals,Erie Hack 2.0,"Cleveland, OH, USA"
"June 15, 2019",Speaker,2019 AquaHacking Semifinals,AquaHacking,"Toronto, ON, Canada"
"June 5, 2019",Pitch,Erie Hack Semi-finals,Erie Hack 2.0,"Detroit, MI, USA"
"May 8, 2019",Pitch,Student Entrepreneur National Competition,Enactus Canada,"Vancouver, BC, Canada"
"April 13, 2019",Pitch,Erie Hack Quarter-finals,Erie Hack 2.0,"Detroit, MI, USA"
"April 9, 2019",Oral Presentation,Systems Design Engineering Graduate Colloquium,University of Waterloo,"Waterloo, ON, Canada"
"March 1, 2019",Speaker,AquaHacking Information Session,AquaHacking and The Water institute,"Waterloo, ON, Canada"
"February 6, 2019",Oral Presentation,A Multispectral Bayesian-based Computational Microscopy Method for Enhancing Image Quality,SPIE Photonics West,"San Francisco, CA, USA"
"January 15, 2019",Speaker,Systems Design Engineering Undergraduate Class,University of Waterloo,"Waterloo, ON, Canada"
"November 14, 2018",Oral Presentation,What Sensors Can do for Algae and Cyanotoxin Detection,American Water Works Association (AWWA) Water Quality Technology Conference (WQTC),"Toronto, ON, Canada"
"November 13, 2018",Oral Presentation,Smart Tech and Artificial Intelligence - Advances in Water Quality Management,Latornell Conservation Symposium,"Alliston, ON, Canada"
"November 6, 2018",Oral President,SAMSON: Spectral Absorption-fluorescence Microscopy System for ON-site-imaging of algae,Conference on Vision and Intelligent Systems (CVIS),"Waterloo, ON, Canada"
"November 1, 2018",Pitch,Artificial Intelligence for Algae Identification, Future Engineers for Water and Environmental Safety Student Competition -- Sino-Canada Joint R&D Center on Water and Environmental Safety,"Tianjin, China"
"October 25, 2018",Speaker,2018 AquaHacking Final,AquaHacking,"Toronto, ON, Canada"
"May 15, 2018",Interviewee,Could artificial intelligence help scientists fight toxic blooms in the Great Lakes?,Michigan Public Radio,"Michigan, USA"
"May 5, 2018",Plenary Presentation,Using Technology and Entrepreneurship to Solve Freshwater Issues,Great Lakes Economic Forum,"Montreal, QC, Canada"
"March 21, 2018",Speaker,2018 AquaHacking Launch,AquaHacking,"Toronto, ON, Canada"
"November 27, 2017",Oral Presentation,PhD Comprehensive Examination,University of Waterloo,"Waterloo, ON, Canada"
"November 14, 2017",Webinar,HABs Collaboratory Webinar - Current and Emerging Technology in the Great Lakes,Great Lakes Commission,"Ann Arbor, MI, USA"
"November 1, 2017",Plenary Speaker,Ideas to Action,Water Innovation in Action,"Toronto, ON, Canada"
"September 13, 2017",Pitch,2017 AquaHacking Finals,AquaHacking,"Waterloo, ON, Canada"
"June 21, 2017",Pitch,2017 AquaHacking Semi-finals,AquaHacking,"Waterloo, ON, Canada"
